Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,12810,27.80,57829.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,372012,Maids and Housekeeping Cleaners,12480,11.48,23872.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",12370,23.31,48491.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,359021,Dishwashers,12350,9.64,20048.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,311014,Nursing Assistants,12290,14.15,29440.00,Postsecondary non-degree award,None,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",12130,9.73,20232.00,No formal educational credential,None,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,259041,Teacher Assistants,11880,,30790.00,"Some college, no degree",None,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",11550,18.81,39133.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",11430,9.70,20170.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,272012,Producers and Directors,11420,46.87,97493.00,Bachelor's degree,<5 years,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,11070,18.56,38595.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,537064,"Packers and Packagers, Hand",10750,9.63,20028.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,499071,"Maintenance and Repair Workers, General",10600,20.04,41698.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,536021,Parking Lot Attendants,10370,10.48,21801.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,10350,24.07,50075.00,Postsecondary non-degree award,None,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,319092,Medical Assistants,10110,16.02,33325.00,Postsecondary non-degree award,None,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,434171,Receptionists and Information Clerks,9930,13.96,29043.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,399011,Childcare Workers,9860,11.57,24066.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,333051,Police and Sheriff's Patrol Officers,9720,47.81,99424.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,353011,Bartenders,9310,11.48,23882.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,131111,Management Analysts,8600,43.05,89553.00,Bachelor's degree,<5 years,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,252021,"Elementary School Teachers, Except Special Education",8470,,74971.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",8390,,77497.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,412021,Counter and Rental Clerks,8350,11.67,24271.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,8070,19.57,40708.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,472061,Construction Laborers,7620,18.66,38826.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,435071,"Shipping, Receiving, and Traffic Clerks",7400,14.05,29237.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,131161,Market Research Analysts and Marketing Specialists,7250,31.47,65464.00,Bachelor's degree,None,None
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,373011,Landscaping and Groundskeeping Workers,7230,12.58,26187.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,339032,Security Guards,120,15.22,31663.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,211093,Social and Human Service Assistants,7080,19.68,40945.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,352011,"Cooks, Fast Food",6970,9.62,19997.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2014-2024,533033,Light Truck or Delivery Services Drivers,6850,14.48,30103.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2620,9.53,19830.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",1310,,,High school diploma or equivalent,≥5 years,None
County,Madera County,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",590,13.36,27788.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,412011,Cashiers,590,9.85,20470.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",570,9.52,19803.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,412031,Retail Salespersons,470,10.90,22663.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",380,9.62,20003.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,333012,Correctional Officers and Jailers,330,,,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Madera County,2014-2024,353031,Waiters and Waitresses,320,13.47,28012.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,439061,"Office Clerks, General",300,14.42,29994.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,111021,General and Operations Managers,270,39.59,82349.00,Bachelor's degree,≥5 years,None
County,Madera County,2014-2024,372012,Maids and Housekeeping Cleaners,260,10.26,21333.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,220,17.58,36572.00,Postsecondary non-degree award,None,Short-term on-the-job training
County,Madera County,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",220,12.02,25000.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,499071,"Maintenance and Repair Workers, General",210,16.73,34800.00,High school diploma or equivalent,None,Long-term on-the-job training
County,Madera County,2014-2024,435081,Stock Clerks and Order Fillers,210,11.76,24458.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,259041,Teacher Assistants,170,,28254.00,"Some college, no degree",None,None
County,Madera County,2014-2024,252021,"Elementary School Teachers, Except Special Education",160,,70619.00,Bachelor's degree,None,Internship/Residency
County,Madera County,2014-2024,434081,"Hotel, Motel, and Resort Desk Clerks",160,10.79,22432.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,150,12.96,26962.00,High school diploma or equivalent,<5 years,None
County,Madera County,2014-2024,434051,Customer Service Representatives,150,17.64,36697.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",150,16.94,35224.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,311014,Nursing Assistants,140,12.60,26217.00,Postsecondary non-degree award,None,None
County,Madera County,2014-2024,472061,Construction Laborers,140,17.93,37291.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,291141,Registered Nurses,870,63.04,131123.00,Bachelor's degree,None,None
County,Madera County,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,120,16.75,34834.00,High school diploma or equivalent,<5 years,None
County,Madera County,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,110,26.45,55016.00,Postsecondary non-degree award,None,None
County,Madera County,2014-2024,319092,Medical Assistants,110,14.11,29348.00,Postsecondary non-degree award,None,None
County,Madera County,2014-2024,434171,Receptionists and Information Clerks,110,13.87,28848.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,252022,"Middle School Teachers, Except Special and Career/Technical Education",100,,71410.00,Bachelor's degree,None,Internship/Residency
County,Madera County,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,100,23.40,48670.00,High school diploma or equivalent,<5 years,None
County,Madera County,2014-2024,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100,16.97,35310.00,High school diploma or equivalent,<5 years,None
County,Madera County,2014-2024,373011,Landscaping and Groundskeeping Workers,100,11.34,23576.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,472031,Carpenters,90,25.02,52060.00,High school diploma or equivalent,None,Apprenticeship
County,Madera County,2014-2024,511011,First-Line Supervisors of Production and Operating Workers,90,23.77,49435.00,High school diploma or equivalent,<5 years,None
County,Madera County,2014-2024,512092,Team Assemblers,90,14.76,30694.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Madera County,2014-2024,352021,Food Preparation Workers,90,11.33,23556.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,472141,"Painters, Construction and Maintenance",90,14.11,29343.00,No formal educational credential,None,Moderate-term on-the-job training
County,Madera County,2014-2024,537051,Industrial Truck and Tractor Operators,90,15.30,31825.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,514121,"Welders, Cutters, Solderers, and Brazers",80,19.31,40166.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Madera County,2014-2024,352014,"Cooks, Restaurant",80,11.58,24107.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Madera County,2014-2024,537064,"Packers and Packagers, Hand",80,9.57,19886.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,193031,"Clinical, Counseling, and School Psychologists",70,,,Doctoral or professional degree,None,Internship/Residency
County,Madera County,2014-2024,211093,Social and Human Service Assistants,70,17.58,36572.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Madera County,2014-2024,333051,Police and Sheriff's Patrol Officers,70,30.10,62612.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Madera County,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",70,24.74,51453.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Madera County,2014-2024,352011,"Cooks, Fast Food",70,9.57,19905.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,359021,Dishwashers,70,9.68,20119.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,412021,Counter and Rental Clerks,70,11.01,22896.00,No formal educational credential,None,Short-term on-the-job training
County,Madera County,2014-2024,452041,"Graders and Sorters, Agricultural Products",70,9.50,19759.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2620,9.53,19830.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",1310,,,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Madera MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",590,13.36,27788.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,412011,Cashiers,590,9.85,20470.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",570,9.52,19803.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,412031,Retail Salespersons,470,10.90,22663.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",380,9.62,20003.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,333012,Correctional Officers and Jailers,330,,,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,353031,Waiters and Waitresses,320,13.47,28012.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,439061,"Office Clerks, General",300,14.42,29994.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,111021,General and Operations Managers,270,39.59,82349.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Madera MSA,2014-2024,372012,Maids and Housekeeping Cleaners,260,10.26,21333.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,220,17.58,36572.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,537064,"Packers and Packagers, Hand",80,9.57,19886.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",220,12.02,25000.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,499071,"Maintenance and Repair Workers, General",210,16.73,34800.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,435081,Stock Clerks and Order Fillers,210,11.76,24458.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,259041,Teacher Assistants,170,,28254.00,"Some college, no degree",None,None
Metropolitan Area,Madera MSA,2014-2024,333051,Police and Sheriff's Patrol Officers,70,30.10,62612.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",160,,70619.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Madera MSA,2014-2024,434081,"Hotel, Motel, and Resort Desk Clerks",160,10.79,22432.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,150,12.96,26962.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA,2014-2024,434051,Customer Service Representatives,150,17.64,36697.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",150,16.94,35224.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,311014,Nursing Assistants,140,12.60,26217.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA,2014-2024,472061,Construction Laborers,140,17.93,37291.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,339032,Security Guards,120,15.22,31663.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,120,16.75,34834.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,110,26.45,55016.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA,2014-2024,319092,Medical Assistants,110,14.11,29348.00,Postsecondary non-degree award,None,None
Metropolitan Area,Madera MSA,2014-2024,434171,Receptionists and Information Clerks,110,13.87,28848.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,252022,"Middle School Teachers, Except Special and Career/Technical Education",100,,71410.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Madera MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,100,23.40,48670.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA,2014-2024,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100,16.97,35310.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,100,11.34,23576.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,472031,Carpenters,90,25.02,52060.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Madera MSA,2014-2024,511011,First-Line Supervisors of Production and Operating Workers,90,23.77,49435.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Madera MSA,2014-2024,512092,Team Assemblers,90,14.76,30694.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,352021,Food Preparation Workers,90,11.33,23556.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,472141,"Painters, Construction and Maintenance",90,14.11,29343.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,537051,Industrial Truck and Tractor Operators,90,15.30,31825.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,514121,"Welders, Cutters, Solderers, and Brazers",80,19.31,40166.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,352014,"Cooks, Restaurant",80,11.58,24107.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,193031,"Clinical, Counseling, and School Psychologists",70,,,Doctoral or professional degree,None,Internship/Residency
Metropolitan Area,Madera MSA,2014-2024,211093,Social and Human Service Assistants,70,17.58,36572.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",70,24.74,51453.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,352011,"Cooks, Fast Food",70,9.57,19905.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,359021,Dishwashers,70,9.68,20119.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,412021,Counter and Rental Clerks,70,11.01,22896.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Madera MSA,2014-2024,452041,"Graders and Sorters, Agricultural Products",70,9.50,19759.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,353031,Waiters and Waitresses,1570,11.82,24586.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,412031,Retail Salespersons,1470,15.37,31953.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",1140,11.64,24198.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,111021,General and Operations Managers,1090,57.42,119425.00,Bachelor's degree,≥5 years,None
County,Marin County,2014-2024,412011,Cashiers,1040,12.25,25494.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,399021,Personal Care Aides,1020,13.03,27105.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",800,14.06,29246.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,472031,Carpenters,800,30.97,64409.00,High school diploma or equivalent,None,Apprenticeship
County,Marin County,2014-2024,439061,"Office Clerks, General",760,20.52,42684.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Marin County,2014-2024,131111,Management Analysts,690,51.84,107830.00,Bachelor's degree,<5 years,None
County,Marin County,2014-2024,435081,Stock Clerks and Order Fillers,660,13.82,28736.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,352014,"Cooks, Restaurant",630,13.33,27727.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Marin County,2014-2024,472061,Construction Laborers,530,22.00,45768.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",520,22.62,47054.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Marin County,2014-2024,352021,Food Preparation Workers,510,10.04,20905.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,151133,"Software Developers, Systems Software",500,63.08,131214.00,Bachelor's degree,None,None
County,Marin County,2014-2024,434171,Receptionists and Information Clerks,450,17.37,36114.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Marin County,2014-2024,472141,"Painters, Construction and Maintenance",450,21.52,44762.00,No formal educational credential,None,Moderate-term on-the-job training
County,Marin County,2014-2024,132011,Accountants and Auditors,440,46.51,96737.00,Bachelor's degree,None,None
County,Marin County,2014-2024,373011,Landscaping and Groundskeeping Workers,440,16.78,34916.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,131161,Market Research Analysts and Marketing Specialists,430,43.67,90822.00,Bachelor's degree,None,None
County,Marin County,2014-2024,252021,"Elementary School Teachers, Except Special Education",430,,72141.00,Bachelor's degree,None,Internship/Residency
County,Marin County,2014-2024,434051,Customer Service Representatives,430,20.76,43196.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Marin County,2014-2024,353011,Bartenders,370,11.72,24382.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,399011,Childcare Workers,360,17.79,37006.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Marin County,2014-2024,499071,"Maintenance and Repair Workers, General",360,24.19,50314.00,High school diploma or equivalent,None,Long-term on-the-job training
County,Marin County,2014-2024,372012,Maids and Housekeeping Cleaners,350,13.14,27339.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,132052,Personal Financial Advisors,340,49.58,103123.00,Bachelor's degree,None,Long-term on-the-job training
County,Marin County,2014-2024,259041,Teacher Assistants,340,,36430.00,"Some college, no degree",None,None
County,Marin County,2014-2024,333012,Correctional Officers and Jailers,340,,,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Marin County,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,330,30.09,62568.00,High school diploma or equivalent,<5 years,None
County,Marin County,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",320,15.56,32355.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",310,,73652.00,Bachelor's degree,None,Internship/Residency
County,Marin County,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",300,,,High school diploma or equivalent,≥5 years,None
County,Marin County,2014-2024,399031,Fitness Trainers and Aerobics Instructors,300,24.78,51548.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Marin County,2014-2024,272022,Coaches and Scouts,290,,40306.00,Bachelor's degree,None,None
County,Marin County,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,290,11.42,23760.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,151121,Computer Systems Analysts,260,54.15,112639.00,Bachelor's degree,None,None
County,Marin County,2014-2024,311014,Nursing Assistants,260,15.85,32958.00,Postsecondary non-degree award,None,None
County,Marin County,2014-2024,131071,Human Resources Specialists,240,30.63,63714.00,Bachelor's degree,None,None
County,Marin County,2014-2024,359021,Dishwashers,240,10.98,22852.00,No formal educational credential,None,Short-term on-the-job training
County,Marin County,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,240,22.60,47005.00,High school diploma or equivalent,<5 years,None
County,Marin County,2014-2024,471011,First-Line Supervisors of Construction Trades and Extraction Workers,240,47.38,98570.00,High school diploma or equivalent,≥5 years,None
County,Marin County,2014-2024,472111,Electricians,240,44.09,91709.00,High school diploma or equivalent,None,Apprenticeship
County,Marin County,2014-2024,113031,Financial Managers,230,67.72,140844.00,Bachelor's degree,≥5 years,None
County,Marin County,2014-2024,119021,Construction Managers,230,55.43,115301.00,Bachelor's degree,None,Moderate-term on-the-job training
County,Marin County,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,230,20.84,43359.00,High school diploma or equivalent,<5 years,None
County,Merced County,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1820,9.50,19759.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,412011,Cashiers,1380,9.60,19975.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",1220,9.53,19844.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,399021,Personal Care Aides,970,11.28,23454.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",970,36.62,76147.00,High school diploma or equivalent,≥5 years,None
County,Merced County,2014-2024,412031,Retail Salespersons,880,10.37,21572.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,620,17.99,37418.00,Postsecondary non-degree award,None,Short-term on-the-job training
County,Merced County,2014-2024,291141,Registered Nurses,470,46.93,97604.00,Bachelor's degree,None,None
County,Merced County,2014-2024,353031,Waiters and Waitresses,430,9.59,19946.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,439061,"Office Clerks, General",420,16.13,33545.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,435081,Stock Clerks and Order Fillers,420,11.65,24223.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",400,11.19,23278.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,111021,General and Operations Managers,390,38.90,80906.00,Bachelor's degree,≥5 years,None
County,Merced County,2014-2024,537064,"Packers and Packagers, Hand",360,9.96,20711.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,259041,Teacher Assistants,360,,32900.00,"Some college, no degree",None,None
County,Merced County,2014-2024,252021,"Elementary School Teachers, Except Special Education",360,,75164.00,Bachelor's degree,None,Internship/Residency
County,Merced County,2014-2024,519111,Packaging and Filling Machine Operators and Tenders,330,16.20,33685.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Merced County,2014-2024,434051,Customer Service Representatives,330,17.81,37025.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Merced County,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",330,13.81,28726.00,No formal educational credential,None,Short-term on-the-job training
County,Merced County,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,280,14.03,29185.00,High school diploma or equivalent,<5 years,None
County,Merced County,2014-2024,537051,Industrial Truck and Tractor Operators,270,19.91,41401.00,No formal educational credential,None,Short-term on-the-job training
